timestamp,est_x,est_y,est_theta,gt_x,gt_y,gt_theta,error_m,update_time_ms,kidnapped
0.020000,-0.854128,-0.610419,-2.878532,-0.550000,-0.458800,0.000000,0.339826,8.935700,0
0.040000,-0.479926,-0.536863,-3.104754,-0.550000,-0.458800,0.000000,0.104900,8.284200,0
0.060000,-0.338682,-0.577949,2.997460,-0.550000,-0.458800,0.000000,0.242594,8.367200,0
0.080000,0.128579,-0.588365,2.832032,-0.550000,-0.458800,0.000000,0.690837,8.988200,0
0.100000,0.489389,-0.620051,3.019372,-0.550000,-0.458800,0.000000,1.051823,9.417300,0
0.120000,0.512301,-0.594023,3.078708,-0.550000,-0.458800,0.000000,1.070873,9.326400,0
0.140000,0.543278,-0.583002,3.101498,-0.550000,-0.458800,0.000000,1.100311,8.990400,0
0.160000,0.532151,-0.580422,3.128586,-0.550000,-0.458800,0.000000,1.088964,9.485300,0
0.180000,0.534334,-0.577570,3.131663,-0.550000,-0.458800,0.000000,1.090819,11.821400,0
0.200000,0.541289,-0.575494,3.124708,-0.550000,-0.458800,0.000000,1.097511,9.118700,0
0.220000,0.531568,-0.574808,3.123533,-0.550000,-0.458800,0.000000,1.087772,9.341300,0
0.240000,0.531513,-0.577766,3.106599,-0.550000,-0.458800,0.000000,1.088036,9.021300,0
0.260000,0.542155,-0.572805,3.131170,-0.550000,-0.458800,0.000000,1.098089,9.181700,0
0.280000,0.536077,-0.578866,3.132592,-0.550000,-0.458800,0.000000,1.092694,8.766900,0
0.300000,0.519392,-0.575268,3.129952,-0.550000,-0.458800,0.000000,1.075716,9.076200,0
0.320000,0.545568,-0.574584,3.136944,-0.550000,-0.458800,0.000000,1.101670,9.312600,0
0.340000,0.537327,-0.576074,3.133148,-0.550000,-0.458800,0.000000,1.093633,8.890000,0
0.360000,0.531164,-0.577277,3.122628,-0.550000,-0.458800,0.000000,1.087636,10.804700,0
0.380000,0.533209,-0.579779,3.128000,-0.550000,-0.458800,0.000000,1.089944,533.867900,0
0.400000,0.538948,-0.579158,3.126365,-0.550000,-0.458800,0.000000,1.095579,7.074300,0
